normalized_player,normalized_full_name,full_name,height_cm,weight_kg,preferred_foot,weak_foot,dob,club_contract_valid_until,birth_year_x,#OPA,#OPA/90,+/-,+/-90,/90,1/3,1/3_stats_possession,2CrdY,90s,90s_stats_defense,90s_stats_gca,90s_stats_keeper,90s_stats_keeper_adv,90s_stats_misc,90s_stats_passing,90s_stats_passing_types,90s_stats_playing_time,90s_stats_possession,90s_stats_shooting,A-xAG,Age,Age_stats_defense,Age_stats_gca,Age_stats_keeper,Age_stats_keeper_adv,Age_stats_misc,Age_stats_passing,Age_stats_passing_types,Age_stats_playing_time,Age_stats_possession,Age_stats_shooting,Ast,Ast_stats_passing,Att,Att (GK),Att 3rd,Att 3rd_stats_possession,Att Pen,Att_stats_defense,Att_stats_keeper_adv,Att_stats_passing_types,Att_stats_possession,AvgDist,AvgLen,Blocks,Blocks_stats_defense,Born,Born_stats_defense,Born_stats_gca,Born_stats_keeper,Born_stats_keeper_adv,Born_stats_misc,Born_stats_passing,Born_stats_passing_types,Born_stats_playing_time,Born_stats_possession,Born_stats_shooting,CK,CK_stats_keeper_adv,CPA,CS,CS%,Carries,Clr,Cmp,Cmp%,Cmp%_stats_keeper_adv,Cmp_stats_keeper_adv,Cmp_stats_passing_types,Comp,Comp_stats_defense,Comp_stats_gca,Comp_stats_keeper,Comp_stats_keeper_adv,Comp_stats_misc,Comp_stats_passing,Comp_stats_passing_types,Comp_stats_playing_time,Comp_stats_possession,Comp_stats_shooting,Compl,CrdR,CrdR_stats_misc,CrdY,CrdY_stats_misc,Crs,CrsPA,Crs_stats_misc,D,Dead,Def,Def 3rd,Def 3rd_stats_possession,Def Pen,Dis,Dist,Err,FK,FK_stats_keeper_adv,FK_stats_passing_types,Fld,Fld_stats_misc,Fls,G+A,G+A-PK,G-PK,G-xG,G/Sh,G/SoT,GA,GA90,GA_stats_keeper_adv,GCA,GCA90,Gls,Gls_stats_shooting,In,Int,Int_stats_misc,KP,L,Launch%,Live,Live_stats_possession,Lost,Lost_stats_misc,MP,MP_stats_keeper,MP_stats_playing_time,Mid 3rd,Mid 3rd_stats_possession,Min,Min%,Min_stats_keeper,Min_stats_playing_time,Mis,Mn/MP,Mn/Start,Mn/Sub,Nation,Nation_stats_defense,Nation_stats_gca,Nation_stats_keeper,Nation_stats_keeper_adv,Nation_stats_misc,Nation_stats_passing,Nation_stats_passing_types,Nation_stats_playing_time,Nation_stats_possession,Nation_stats_shooting,OG,OG_stats_keeper_adv,Off,Off_stats_misc,On-Off,Opp,Out,PK,PKA,PKA_stats_keeper_adv,PK_stats_shooting,PKatt,PKatt_stats_keeper,PKatt_stats_shooting,PKcon,PKm,PKsv,PKwon,PPA,PPM,PSxG,PSxG+/-,PSxG/SoT,Pass,PassDead,PassLive,Player,Pos,Pos_stats_defense,Pos_stats_gca,Pos_stats_keeper,Pos_stats_keeper_adv,Pos_stats_misc,Pos_stats_passing,Pos_stats_passing_types,Pos_stats_playing_time,Pos_stats_possession,Pos_stats_shooting,PrgC,PrgC_stats_possession,PrgDist,PrgDist_stats_possession,PrgP,PrgP_stats_passing,PrgR,PrgR_stats_possession,Rec,Recov,Rk,Rk_stats_defense,Rk_stats_gca,Rk_stats_keeper,Rk_stats_keeper_adv,Rk_stats_misc,Rk_stats_passing,Rk_stats_passing_types,Rk_stats_playing_time,Rk_stats_possession,Rk_stats_shooting,SCA,SCA90,Save%,Saves,Sh,Sh/90,Sh_stats_defense,Sh_stats_gca,SoT,SoT%,SoT/90,SoTA,Squad,Starts,Starts_stats_keeper,Starts_stats_playing_time,Stp,Stp%,Str,Subs,Succ,Succ%,Sw,TB,TI,TO,Thr,Tkl,Tkl%,Tkl+Int,TklW,TklW_stats_misc,Tkld,Tkld%,TotDist,TotDist_stats_possession,Touches,W,Won,Won%,id,last_evaluation,market_value,np:G-xG,npxG,npxG+xAG,npxG/Sh,npxG_stats_shooting,onG,onGA,onxG,onxGA,success,unSub,value_updated,xA,xAG,xAG_stats_passing,xG,xG+/-,xG+/-90,xG+xAG,xG_stats_shooting,birth_year_y
pablo rosario, pablo paulino rosario, Pablo Paulino Rosario,188,73,Right,3 ,1997-01-07,2026,1997,,,8,0.41,,63,19,0,19.7,19.7,19.7,,,19.7,19.7,19.7,19.7,19.7,19.7,0.4,27.0,27.0,27.0,,,27.0,27.0,27.0,27.0,27.0,27.0,1,1,754,,5,154,19,20,,754,17,,,11,19,1997.0,1997.0,1997.0,,,1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,0,,2,,,473,43,641,85.0,,,641,fr Ligue 1,fr Ligue 1,fr Ligue 1,,,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,14,1,1,6,6,3,1,3,,14,3,6,247,78,15,16.1,2,0,,13,0,10,24,4,0.15,2,-0.8,0.13,0.29,,,,2,0.1,3,3,0,31,31,16,,,739,949,9,16,29,,29,19,559,1775,58.0,,1775,20,61,80.0,13.0,nl NED,nl NED,nl NED,,,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,0,,1,0,-0.79,,0,1,,,1,1,,1,0,,,0,14,1.62,,,,8,0,30,Pablo Rosario,"MF,DF","MF,DF","MF,DF",,,"MF,DF","MF,DF","MF,DF","MF,DF","MF,DF","MF,DF",17,17,3770,1247,89,89,25,25,653,60,2258,2258,2258,,,2258,2258,2258,2784,2258,2258,35,1.78,,,16,0.81,11,1,7,43.8,0.35,,Nice,21,,21,,,0,8,9,52.9,2,3,0,1,,30,55.0,61,20,20,8,47.1,10685,2261,950,,24,60.0,370791.0,2025-06-03,8000000.0,-1.0,3.0,3.5,0.19,3.0,35,27,34.7,25.5,True,0,True,0.9,0.6,0.6,3.8,9.2,0.47,0.22,3.8,1997
archie gray, archie gray, Archie Gray,187,70,Right,4 ,2006-03-12,2030,2006,,,-11,-0.57,,43,6,0,19.5,19.5,19.5,,,19.5,19.5,19.5,19.5,19.5,19.5,-0.1,18.0,18.0,18.0,,,18.0,18.0,18.0,18.0,18.0,18.0,0,0,1145,,4,106,3,17,,1145,13,,,17,22,2006.0,2006.0,2006.0,,,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,4,,0,,,878,50,1001,87.4,,,1001,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,17,0,0,1,1,17,0,17,,88,0,4,610,150,11,24.6,2,0,,30,0,11,17,0,0.0,0,0.0,0.0,0.0,,,,0,0.0,0,0,0,19,19,3,,,1053,1287,10,11,28,,28,8,582,1751,51.2,,1751,12,63,88.0,10.0,eng ENG,eng ENG,eng ENG,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,1,,4,0,-1.1,,4,0,,,0,0,,0,0,,,0,0,1.11,,,,11,1,5,Archie Gray,"DF,MF","DF,MF","DF,MF",,,"DF,MF","DF,MF","DF,MF","DF,MF","DF,MF","DF,MF",8,8,5370,1685,40,40,17,17,941,69,1058,1058,1058,,,1058,1058,1058,1313,1058,1058,6,0.31,,,1,0.05,11,0,1,100.0,0.05,,Tottenham,19,,19,,,0,9,7,53.8,3,1,45,0,,16,41.2,35,8,8,5,38.5,17440,4058,1287,,11,50.0,922693.0,2025-05-30,38000000.0,0.0,0.0,0.2,0.02,0.0,30,41,25.2,38.2,True,10,True,0.2,0.1,0.1,0.0,-13.0,-0.67,0.01,0.0,2006
emil holm, emil alfons holm, Emil Alfons Holm,191,83,Right,3 ,2000-05-13,2028,2000,,,1,0.08,,47,18,0,12.6,12.6,12.6,,,12.6,12.6,12.6,12.6,12.6,12.6,0.3,24.0,24.0,24.0,,,24.0,24.0,24.0,24.0,24.0,24.0,1,1,735,,3,266,26,31,,735,25,,,12,19,2000.0,2000.0,2000.0,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0,,5,,,442,51,560,76.2,,,560,it Serie A,it Serie A,it Serie A,,,it Serie A,it Serie A,it Serie A,it Serie A,it Serie A,it Serie A,5,0,0,3,3,40,8,40,,161,0,17,269,44,14,18.8,1,0,,29,1,24,16,2,0.16,1,0.4,0.1,0.33,,,,2,0.16,1,1,0,10,10,10,,,574,909,11,20,21,,21,14,384,1137,33.2,,1137,26,54,83.0,16.0,se SWE,se SWE,se SWE,,,se SWE,se SWE,se SWE,se SWE,se SWE,se SWE,0,,0,1,-0.28,,0,0,,,0,0,,0,0,,,1,14,1.43,,,,15,2,22,Emil Holm,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,29,29,3499,1188,49,49,43,43,490,47,1176,1176,1176,,,1176,1176,1176,1455,1176,1176,28,2.22,,,10,0.79,4,1,3,30.0,0.24,,Bologna,12,,12,,,0,9,10,40.0,11,1,132,2,,34,64.5,44,21,21,10,40.0,10735,2401,909,,31,60.8,496745.0,2025-03-25,8000000.0,0.4,0.6,1.3,0.06,0.6,18,17,17.1,11.7,True,9,True,0.9,0.7,0.7,0.6,5.4,0.43,0.1,0.6,2000
alexander prass, alexander prass, Alexander Prass,180,72,Left,2 ,2001-05-26,2028,2001,,,-7,-0.4,,43,30,0,17.4,17.4,17.4,,,17.4,17.4,17.4,17.4,17.4,17.4,-1.8,23.0,23.0,23.0,,,23.0,23.0,23.0,23.0,23.0,23.0,1,1,969,,3,325,32,59,,969,42,,,30,33,2001.0,2001.0,2001.0,,,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,1,,5,,,605,53,704,72.7,,,704,de Bundesliga,de Bundesliga,de Bundesliga,,,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,7,0,0,1,1,54,11,54,,159,0,24,351,71,10,18.6,4,1,,14,1,25,17,1,0.06,0,-0.9,0.0,0.0,,,,5,0.29,0,0,0,9,9,18,,,805,1199,35,19,23,,23,15,531,1566,51.2,,1566,21,68,78.0,20.0,at AUT,at AUT,at AUT,,,at AUT,at AUT,at AUT,at AUT,at AUT,at AUT,0,,5,0,0.5,,1,0,,,0,0,,0,0,,,1,27,1.0,,,,27,1,29,Alexander Prass,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,28,28,4086,1327,63,63,66,66,689,92,2147,2147,2147,,,2147,2147,2147,2650,2147,2147,35,2.01,,,12,0.69,6,0,1,8.3,0.06,,Hoffenheim,19,,19,,,0,4,20,47.6,2,3,144,4,,42,40.7,51,23,23,17,40.5,11665,2773,1199,,15,44.1,434116.0,2025-06-05,5000000.0,-0.9,0.9,3.6,0.07,0.9,23,30,22.0,27.6,True,4,True,2.8,2.8,2.8,0.9,-5.6,-0.32,0.21,0.9,2001
finn dahmen, finn gilbert dahmen, Finn Gilbert Dahmen,188,80,Right,3 ,1998-03-27,2026,1998,26.0,1.37,-1,-0.05,0.38,11,0,0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,0,761,614.0,0,0,0,2,341.0,761,0,14.7,34.9,0,0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,0,3.0,0,9.0,47.4,479,9,528,69.4,37.8,129.0,528,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,19,0,0,0,0,0,0,0,6.0,204,0,1,790,553,0,,0,0,0.0,59,0,1,0,0,0.0,0,0.0,,,19.0,1.0,19.0,1,0.05,0,0,0,0,0,0,6.0,38.6,555,811,1,0,19,19.0,19,0,21,1710,55.9,1710.0,1710,0,90,90.0,,de GER,de GER,de GER,de GER,de GER,de GER,de GER,de GER,de GER,de GER,de GER,0,2.0,2,0,0.95,337.0,0,0,2.0,2.0,0,0,2.0,0,0,0.0,0.0,0,0,1.42,24.2,7.2,0.29,0,0,2,Finn Dahmen,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,0,0,11241,1355,3,3,0,0,426,33,645,645,645,31.0,31.0,645,645,645,802,645,645,2,0.11,79.3,65.0,0,0.0,0,0,0,,0.0,82.0,Augsburg,19,19.0,19,9.0,2.7,0,0,0,,1,0,0,0,51.0,1,50.0,1,0,0,0,,15853,2439,811,7.0,5,100.0,251299.0,2025-06-05,9000000.0,0.0,0.0,0.0,,0.0,18,19,18.3,27.7,True,10,True,0.1,0.0,0.0,0.0,-9.4,-0.5,0.0,0.0,1998
merlin rohl, merlin rohl, Merlin Röhl,192,79,Right,4 ,2002-07-05,2028,2002,,,-7,-0.65,,17,15,0,10.7,10.7,10.7,,,10.7,10.7,10.7,10.7,10.7,10.7,-0.7,22.0,22.0,22.0,,,22.0,22.0,22.0,22.0,22.0,22.0,1,1,250,,2,169,28,11,,250,40,,,12,9,2002.0,2002.0,2002.0,,,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,0,,9,,,217,2,190,76.0,,,190,de Bundesliga,de Bundesliga,de Bundesliga,,,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,1,0,0,2,2,12,3,12,,2,1,4,46,6,22,18.2,0,0,,0,2,19,21,1,0.09,0,-0.8,0.0,0.0,,,,3,0.28,0,0,0,6,6,9,,,247,403,2,34,19,,19,10,195,965,31.5,,965,45,51,72.0,22.0,de GER,de GER,de GER,,,de GER,de GER,de GER,de GER,de GER,de GER,0,,1,0,-0.78,,0,0,,,0,0,,0,0,,,0,4,1.74,,,,8,0,19,Merlin Röhl,"MF,FW","MF,FW","MF,FW",,,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",20,20,560,610,22,22,60,60,256,49,2247,2247,2247,,,2247,2247,2247,2770,2247,2247,25,2.33,,,12,1.12,1,2,3,25.0,0.28,,Freiburg,11,,11,,,0,8,12,30.0,0,0,1,1,,16,81.8,22,10,10,25,62.5,2824,1475,403,,14,29.2,608832.0,2025-06-05,12000000.0,-0.8,0.8,2.5,0.06,0.8,11,18,11.4,12.6,True,2,True,1.1,1.7,1.7,0.8,-1.2,-0.12,0.23,0.8,2002
sandro ramirez, sandro ramirez castillo, Sandro Ramírez Castillo,175,71,Right,4 ,1995-07-09,2026,1995,,,-7,-0.31,,33,21,0,22.6,22.6,22.6,,,22.6,22.6,22.6,22.6,22.6,22.6,-0.4,29.0,29.0,29.0,,,29.0,29.0,29.0,29.0,29.0,29.0,3,3,682,,4,417,64,30,,682,47,,,26,20,1995.0,1995.0,1995.0,,,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0,60,,24,,,469,22,438,64.2,,,438,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,6,0,0,6,6,122,3,122,,94,0,10,146,26,28,24.3,2,14,,26,8,43,26,12,0.49,8,4.9,0.16,0.4,,,,6,0.27,9,9,17,16,16,28,,,580,929,17,16,31,,31,13,383,2034,59.5,,2034,49,66,75.0,28.0,es ESP,es ESP,es ESP,,,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,0,,8,5,0.6,,36,1,,,1,1,,1,1,,,1,10,0.94,,,,20,18,31,Sandro Ramírez,"FW,MF","FW,MF","FW,MF",,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",52,52,2293,1134,52,52,121,121,575,93,2170,2170,2170,,,2170,2170,2170,2677,2170,2170,59,2.61,,,51,2.26,0,2,20,39.2,0.88,,Las Palmas,25,,25,,,0,6,16,34.0,3,3,8,0,,27,43.3,43,15,15,26,55.3,7317,2578,930,,12,42.9,199369.0,2024-12-27,2500000.0,4.7,3.3,6.7,0.06,3.3,26,33,21.8,39.8,True,1,True,3.2,3.4,3.4,4.1,-18.0,-0.8,0.33,4.1,1995
conor chaplin, conor mark chaplin, Conor Mark Chaplin,168,69,Left,4 ,1997-02-16,2026,1997,,,-11,-1.16,,21,9,0,9.5,9.5,9.5,,,9.5,9.5,9.5,9.5,9.5,9.5,0.3,27.0,27.0,27.0,,,27.0,27.0,27.0,27.0,27.0,27.0,1,1,319,,3,138,18,14,,319,8,,,5,8,1997.0,1997.0,1997.0,,,1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,0,,0,,,179,3,235,73.7,,,235,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,1,0,0,2,2,9,2,9,,37,0,6,74,7,5,17.7,0,0,,3,0,7,11,2,0.21,1,-0.5,0.06,0.33,,,,1,0.11,1,1,0,4,4,8,,,282,390,8,9,22,,22,6,183,857,25.1,,857,12,39,71.0,13.0,eng ENG,eng ENG,eng ENG,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,0,,0,0,0.07,,0,0,,,0,0,,0,0,,,0,7,0.41,,,,7,3,19,Conor Chaplin,"MF,FW","MF,FW","MF,FW",,,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",13,13,927,467,29,29,23,23,264,27,529,529,529,,,529,529,529,652,529,529,22,2.32,,,16,1.68,1,0,3,18.8,0.32,,Ipswich Town,10,,10,,,0,12,4,50.0,1,10,4,0,,15,42.9,19,5,5,4,50.0,3800,910,390,,3,25.0,349503.0,2025-05-30,6000000.0,-0.5,1.5,2.2,0.09,1.5,8,19,8.8,17.6,True,6,True,0.6,0.7,0.7,1.5,-8.8,-0.93,0.23,1.5,1997
nathaniel brown, nathaniel brown, Nathaniel Brown,180,64,Left,3 ,2003-06-16,2030,2003,,,18,0.83,,35,31,0,21.6,21.6,21.6,,,21.6,21.6,21.6,21.6,21.6,21.6,0.9,21.0,21.0,21.0,,,21.0,21.0,21.0,21.0,21.0,21.0,6,6,901,,14,389,50,55,,901,33,,,28,30,2003.0,2003.0,2003.0,,,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,48,,6,,,600,55,727,80.7,,,727,de Bundesliga,de Bundesliga,de Bundesliga,,,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,12,0,0,2,2,92,7,92,,181,0,39,314,43,12,15.4,1,0,,19,2,22,15,9,0.42,3,0.8,0.23,0.6,,,,11,0.51,3,3,43,15,15,39,,,713,1174,11,18,26,,26,18,485,1947,63.6,,1947,30,75,84.0,26.0,de GER,de GER,de GER,,,de GER,de GER,de GER,de GER,de GER,de GER,0,,7,0,0.51,,1,0,,,0,0,,0,0,,,0,22,1.77,,,,30,16,44,Nathaniel Brown,"DF,MF","DF,MF","DF,MF",,,"DF,MF","DF,MF","DF,MF","DF,MF","DF,MF","DF,MF",45,45,3251,1680,63,63,119,119,658,81,401,401,401,,,401,401,401,498,401,401,64,2.96,,,13,0.6,0,2,5,38.5,0.23,,Eint Frankfurt,22,,22,,,0,4,11,33.3,3,2,114,0,,71,80.0,86,42,42,17,51.5,10728,3259,1174,,5,21.7,691892.0,2025-06-05,22000000.0,0.8,2.2,7.3,0.17,2.2,45,27,41.1,24.0,True,2,True,4.6,5.1,5.1,2.2,17.1,0.79,0.34,2.2,2003
wesley said, wesley said, Wesley Saïd,171,72,Right,3 ,1995-04-19,2026,1995,,,0,0.0,,11,10,0,10.1,10.1,10.1,,,10.1,10.1,10.1,10.1,10.1,10.1,-1.0,29.0,29.0,29.0,,,29.0,29.0,29.0,29.0,29.0,29.0,0,0,248,,3,156,41,13,,248,19,,,3,6,1995.0,1995.0,1995.0,,,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0,0,,8,,,185,2,193,77.8,,,193,fr Ligue 1,fr Ligue 1,fr Ligue 1,,,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,0,0,0,4,4,8,0,8,,20,1,3,21,3,9,11.2,0,0,,2,2,4,22,3,0.3,3,-0.2,0.18,0.43,,,,0,0.0,3,3,0,2,2,9,,,227,325,7,16,24,,24,10,151,905,29.6,,905,18,38,67.0,13.0,fr FRA,fr FRA,fr FRA,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,0,,1,7,-0.13,,0,0,,,0,0,,0,0,,,0,12,1.5,,,,6,0,18,Wesley Saïd,FW,FW,FW,,,FW,FW,FW,FW,FW,FW,16,16,495,419,24,24,53,53,239,17,2298,2298,2298,,,2298,2298,2298,2835,2298,2298,27,2.69,,,17,1.69,0,1,7,41.2,0.7,,Lens,11,,11,,,0,13,9,47.4,1,2,2,5,,16,46.2,18,11,11,10,52.6,2430,884,325,,10,38.5,,,,-0.2,3.2,4.2,0.19,3.2,11,11,12.5,14.4,False,2,,1.0,1.0,1.0,3.2,-1.9,-0.19,0.42,3.2,1995
joseph aidoo, joseph aidoo, Joseph Aidoo,184,80,Right,3 ,1995-09-29,"Jun 30, 2025",1995,,,-19,-2.93,,9,0,0,6.5,6.5,6.5,,,6.5,6.5,6.5,6.5,6.5,6.5,0.0,28.0,28.0,28.0,,,28.0,28.0,28.0,28.0,28.0,28.0,0,0,378,,0,2,1,3,,378,1,,,3,8,1995.0,1995.0,1995.0,,,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0,0,,0,,,259,26,337,89.2,,,337,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,4,0,0,0,0,0,0,0,,15,0,3,265,61,1,10.3,1,0,,9,0,2,4,0,0.0,0,0.0,0.0,,,,,0,0.0,0,0,0,5,5,0,,,363,431,1,8,8,,8,2,168,583,17.0,,583,0,73,78.0,57.0,gh GHA,gh GHA,gh GHA,,,gh GHA,gh GHA,gh GHA,gh GHA,gh GHA,gh GHA,0,,0,0,-1.51,,0,0,,,0,0,,0,0,,,0,2,0.0,,,,4,0,1,Joseph Aidoo,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,1,1,2518,678,14,14,0,0,320,25,54,54,54,,,54,54,54,68,54,54,1,0.15,,,1,0.15,4,0,0,0.0,0.0,,Valladolid,6,,6,,,0,2,1,100.0,2,0,1,0,,5,66.7,10,5,5,0,0.0,7044,1248,431,,9,52.9,358250.0,2025-03-21,1400000.0,0.0,0.0,0.0,0.04,0.0,6,25,5.4,15.3,True,1,True,0.1,0.0,0.0,0.0,-9.9,-1.53,0.01,0.0,1995
patrick mainka, patrick mainka, Patrick Mainka,194,86,Right,3 ,1994-11-06,2027,1994,,,-27,-0.79,,88,21,0,34.0,34.0,34.0,,,34.0,34.0,34.0,34.0,34.0,34.0,0.7,29.0,29.0,29.0,,,29.0,29.0,29.0,29.0,29.0,29.0,1,1,1669,,2,123,43,55,,1669,11,,,17,61,1994.0,1994.0,1994.0,,,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,0,,1,,,1171,206,1425,85.4,,,1425,de Bundesliga,de Bundesliga,de Bundesliga,,,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,de Bundesliga,34,0,0,3,3,4,0,4,,33,0,36,1205,286,8,14.1,0,0,,28,0,21,17,2,0.06,1,-0.9,0.04,0.13,,,,2,0.06,1,1,0,68,68,7,,,1631,2136,20,62,34,,34,20,825,3060,100.0,,3060,16,90,90.0,,de GER,de GER,de GER,,,de GER,de GER,de GER,de GER,de GER,de GER,0,,5,2,,,0,0,,,0,0,,0,0,,,0,5,0.85,,,,25,0,23,Patrick Mainka,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,21,21,12007,3395,102,102,12,12,1257,152,1574,1574,1574,,,1574,1574,1574,1944,1574,1574,28,0.82,,,25,0.74,36,5,8,32.0,0.24,,Heidenheim,34,,34,,,0,0,6,54.5,1,1,3,0,,58,63.6,126,30,30,3,27.3,28334,6249,2136,,109,63.7,133731.0,2025-06-05,3000000.0,-0.9,1.9,2.3,0.08,1.9,37,64,40.3,57.6,True,0,True,0.7,0.3,0.3,1.9,-17.4,-0.51,0.07,1.9,1994
luca ranieri, luca ranieri, Luca Ranieri,187,76,Left,3 ,1999-04-23,2028,1999,,,22,0.64,,84,19,0,34.1,34.1,34.1,,,34.1,34.1,34.1,34.1,34.1,34.1,1.3,25.0,25.0,25.0,,,25.0,25.0,25.0,25.0,25.0,25.0,3,3,1800,,2,81,16,25,,1800,19,,,14,47,1999.0,1999.0,1999.0,,,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,0,,2,,,1234,154,1538,85.4,,,1538,it Serie A,it Serie A,it Serie A,,,it Serie A,it Serie A,it Serie A,it Serie A,it Serie A,it Serie A,28,0,0,7,7,9,5,9,,116,0,28,1078,271,3,16.2,1,0,,77,0,23,25,4,0.12,1,-0.1,0.09,0.2,,,,6,0.18,1,1,0,28,28,16,,,1669,2124,5,56,36,,36,12,979,3071,89.8,,3071,10,85,86.0,45.0,it ITA,it ITA,it ITA,,,it ITA,it ITA,it ITA,it ITA,it ITA,it ITA,0,,15,1,1.42,,0,0,,,0,0,,0,1,,,0,11,1.78,,,,15,0,24,Luca Ranieri,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,25,25,10523,3027,80,80,11,11,1404,95,2175,2175,2175,,,2175,2175,2175,2685,2175,2175,28,0.82,,,11,0.32,32,2,5,45.5,0.15,,Fiorentina,35,,35,,,0,1,9,47.4,8,0,8,2,,42,80.0,70,24,24,9,47.4,28999,5928,2124,,48,46.2,346561.0,2024-12-18,12000000.0,-0.1,1.1,2.7,0.11,1.1,58,36,45.8,37.1,True,0,True,1.4,1.7,1.7,1.1,8.7,0.26,0.08,1.1,1999
raul de tomas, raul de tomas gomez, Raúl de Tomás Gómez,180,72,Right,4 ,1994-10-17,2027,1994,,,-2,-8.18,,0,0,0,0.2,0.2,0.2,,,0.2,0.2,0.2,0.2,0.2,0.2,0.0,29.0,29.0,29.0,,,29.0,29.0,29.0,29.0,29.0,29.0,0,0,6,,1,4,1,0,,6,1,,,0,0,1994.0,1994.0,1994.0,,,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,0,,0,,,8,0,5,83.3,,,5,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,0,0,0,0,0,0,0,0,,1,0,1,1,0,1,,0,0,,0,0,2,1,0,0.0,0,0.0,,,,,,0,0.0,0,0,0,0,0,0,,,5,11,0,0,2,,2,0,6,22,0.6,,22,2,11,,11.0,es ESP,es ESP,es ESP,,,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,0,,0,0,-8.13,,0,0,,,0,0,,0,0,,,0,0,0.0,,,,0,0,0,Raúl de Tomás,"DF,FW","DF,FW","DF,FW",,,"DF,FW","DF,FW","DF,FW","DF,FW","DF,FW","DF,FW",0,0,0,0,0,0,2,2,10,2,2605,2605,2605,,,2605,2605,2605,3203,2605,2605,0,0.0,,,0,0.0,0,0,0,,0.0,,Rayo Vallecano,0,,0,,,0,2,0,0.0,0,0,0,0,,2,,2,2,2,1,100.0,50,33,11,,0,,162038.0,2024-12-27,800000.0,0.0,0.0,0.0,,0.0,0,2,0.2,1.3,True,18,True,0.0,0.0,0.0,0.0,-1.2,-4.83,0.0,0.0,1994
